user_id,session_id,date,month,channel,campaign_type,device,user_type,region,visited_website,viewed_product,added_to_cart,checkout_started,purchase_completed,discount_applied,order_value,revenue
221958,1,8/16/2025,2025-08,Organic,New Launch,Mobile,New,Metro,Yes,No,No,No,No,No,499,0
771155,2,12/16/2025,2025-12,Organic,Influencer,Mobile,New,Non-Metro,Yes,Yes,Yes,No,No,No,499,0
231932,3,7/17/2025,2025-07,Organic,Influencer,Mobile,New,Non-Metro,Yes,Yes,No,No,No,No,499,0
465838,4,7/4/2025,2025-07,Paid Ads,Discount,Mobile,Returning,Metro,Yes,Yes,Yes,Yes,Yes,Yes,2000.95,1800.855
359178,5,8/10/2025,2025-08,Paid Ads,Influencer,Mobile,Returning,Non-Metro,Yes,No,No,No,No,No,499,0
744167,6,11/11/2025,2025-11,Organic,New Launch,Desktop,New,Non-Metro,Yes,Yes,Yes,No,No,No,499,0
210268,7,12/19/2025,2025-12,Organic,Discount,Desktop,New,Metro,Yes,Yes,No,No,No,No,499,0
832180,8,11/29/2025,2025-11,Social,Discount,Mobile,Returning,Non-Metro,Yes,Yes,No,No,No,No,499,0
154886,9,8/23/2025,2025-08,Paid Ads,Discount,Desktop,Returning,Non-Metro,Yes,No,No,No,No,No,499,0
237337,10,10/13/2025,2025-10,Social,Discount,Mobile,New,Non-Metro,Yes,Yes,Yes,No,No,No,499,0
621430,11,9/29/2025,2025-09,Organic,New Launch,Mobile,New,Non-Metro,Yes,Yes,No,No,No,No,499,0
187498,12,11/4/2025,2025-11,Paid Ads,Discount,Desktop,New,Non-Metro,Yes,Yes,Yes,Yes,No,No,499,0
999159,13,7/31/2025,2025-07,Social,Discount,Desktop,Returning,Metro,Yes,Yes,No,No,No,No,499,0
275203,14,7/9/2025,2025-07,Organic,Discount,Mobile,New,Non-Metro,Yes,Yes,No,No,No,No,499,0
291335,15,8/22/2025,2025-08,Organic,Discount,Desktop,New,Metro,Yes,Yes,No,No,No,No,499,0
378167,16,11/1/2025,2025-11,Organic,New Launch,Mobile,New,Metro,Yes,No,No,No,No,No,499,0
141090,17,7/2/2025,2025-07,Organic,Discount,Mobile,New,Non-Metro,Yes,Yes,No,No,No,No,499,0
429365,18,11/25/2025,2025-11,Organic,Discount,Desktop,Returning,Metro,Yes,No,No,No,No,No,499,0
164820,19,10/28/2025,2025-10,Email,New Launch,Mobile,Returning,Metro,Yes,No,No,No,No,No,499,0
887201,20,10/14/2025,2025-10,Paid Ads,Influencer,Desktop,Returning,Metro,Yes,Yes,Yes,Yes,No,No,499,0
421879,21,7/4/2025,2025-07,Email,New Launch,Mobile,New,Metro,Yes,Yes,Yes,No,No,No,499,0
